# This file was produced by samtools stats (1.20+htslib-1.20) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats --ref-seq /data/db/data_managers/hg38/sam_indexes/hg38/hg38.fa -@ 1 infile
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	f16056c0	bd0aab9c	2ead56ac
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	1984350	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	1984350
SN	is sorted:	1
SN	1st fragments:	992175
SN	last fragments:	992175
SN	reads mapped:	1980860
SN	reads mapped and paired:	1979960	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	3490
SN	reads properly paired:	1956150	# proper-pair bit set
SN	reads paired:	1984350	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	2648	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	0
SN	total length:	172754742	# ignores clipping
SN	total first fragment length:	86816413	# ignores clipping
SN	total last fragment length:	85938329	# ignores clipping
SN	bases mapped:	172481820	# ignores clipping
SN	bases mapped (cigar):	172481820	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	271245	# from NM fields
SN	error rate:	1.572600e-03	# mismatches / bases mapped (cigar)
SN	average length:	87
SN	average first fragment length:	88
SN	average last fragment length:	87
SN	maximum length:	88
SN	maximum first fragment length:	88
SN	maximum last fragment length:	88
SN	average quality:	37.2
SN	insert size average:	176.6
SN	insert size standard deviation:	59.0
SN	inward oriented pairs:	979879
SN	outward oriented pairs:	8733
SN	pairs with other orientation:	337
SN	pairs on different chromosomes:	1031
SN	percentage of properly paired reads (%):	98.6
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	1528	0	0	0	0	0	0	0	635	0	0	0	0	0	942	0	0	812	0	0	769	0	0	2069	3538	210	4842	138	9205	213	12839	22408	0	174222	0	757805	0	0	0	0	0
FFQ	2	0	0	0	0	0	0	0	0	0	0	1043	0	0	0	0	0	1242	0	0	2786	0	0	950	0	0	2968	4244	257	5970	123	10996	202	14508	24742	0	180619	0	741524	0	0	0	0	0
FFQ	3	0	0	0	0	0	0	1	0	140	0	712	182	0	0	1	146	271	1477	547	524	0	121	79	1065	1	3216	3813	587	4479	2345	10611	1667	16735	22743	2	165453	15995	739261	0	0	0	0	0
FFQ	4	0	0	0	0	0	0	0	0	152	0	788	196	0	0	2	194	270	1353	533	444	1	155	84	1150	0	3378	3838	663	3895	2277	10748	1763	16380	23463	5	165022	15695	739725	0	0	0	0	0
FFQ	5	0	0	0	0	0	1	2	0	135	0	784	226	1	0	0	187	301	1390	624	511	2	150	103	1105	1	3486	4035	1048	3642	2273	11210	1799	16419	23622	6	164778	15653	738679	0	0	0	0	0
FFQ	6	0	0	0	0	0	0	1	0	155	0	835	234	2	1	2	187	295	1433	640	480	5	150	87	1089	6	3565	1542	3982	3166	2288	11062	1295	14568	15323	10500	52487	41	95518	52182	719051	0	0	0
FFQ	7	0	0	0	0	0	0	1	4	167	0	844	233	3	0	1	192	307	1565	639	522	3	143	105	1190	4	3539	1464	4769	2337	2226	11515	1344	14843	15737	10537	52400	32	95007	53822	716677	0	0	0
FFQ	8	0	0	0	0	0	0	3	2	143	0	910	233	3	0	3	182	313	1480	642	551	11	161	114	1172	9	3689	1521	5809	1439	2353	11477	1292	15004	15681	10488	52901	32	95592	54814	714148	0	0	0
FFQ	9	0	0	5	0	0	0	2	1	180	1	848	232	5	0	2	206	292	1419	691	552	11	180	110	1285	25	3613	1579	6813	619	2497	11506	1277	15364	15865	10689	53436	45	96364	56703	709755	0	0	0
FFQ	10	0	0	7	0	0	3	1	4	186	4	882	245	6	0	3	219	310	1511	652	602	15	192	110	1280	26	3790	1616	7114	471	2455	11694	1304	15331	16245	10703	54272	35	97648	58433	704803	0	0	0
